,pct,crime,year,count,crime_category,pct_2
353,79,FELONY ASSAULT                        ,2000,617.0,major,
354,79,BURGLARY                              ,2000,461.0,major,
355,79,GRAND LARCENY                         ,2000,313.0,major,
356,79,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,328.0,major,
357,81,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,17.0,major,
358,81,RAPE                                  ,2000,32.0,major,
359,81,ROBBERY                               ,2000,433.0,major,
360,81,FELONY ASSAULT                        ,2000,431.0,major,
361,81,BURGLARY                              ,2000,447.0,major,
362,81,GRAND LARCENY                         ,2000,207.0,major,
363,81,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,242.0,major,
364,83,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,18.0,major,
365,83,RAPE                                  ,2000,48.0,major,
366,83,ROBBERY                               ,2000,597.0,major,
367,83,FELONY ASSAULT                        ,2000,548.0,major,
368,83,BURGLARY                              ,2000,699.0,major,
369,83,GRAND LARCENY                         ,2000,251.0,major,
370,83,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,392.0,major,
371,84,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,1.0,major,
372,84,RAPE                                  ,2000,7.0,major,
373,84,ROBBERY                               ,2000,360.0,major,
374,84,FELONY ASSAULT                        ,2000,202.0,major,
375,84,BURGLARY                              ,2000,309.0,major,
376,84,GRAND LARCENY                         ,2000,744.0,major,
377,84,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,190.0,major,
378,88,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,9.0,major,
379,88,RAPE                                  ,2000,20.0,major,
380,88,ROBBERY                               ,2000,435.0,major,
381,88,FELONY ASSAULT                        ,2000,211.0,major,
382,88,BURGLARY                              ,2000,265.0,major,
383,88,GRAND LARCENY                         ,2000,347.0,major,
384,88,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,371.0,major,
385,90,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,12.0,major,
386,90,RAPE                                  ,2000,24.0,major,
387,90,ROBBERY                               ,2000,563.0,major,
388,90,FELONY ASSAULT                        ,2000,276.0,major,
389,90,BURGLARY                              ,2000,532.0,major,
390,90,GRAND LARCENY                         ,2000,326.0,major,
391,90,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,333.0,major,
392,94,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,2.0,major,
393,94,RAPE                                  ,2000,5.0,major,
394,94,ROBBERY                               ,2000,211.0,major,
395,94,FELONY ASSAULT                        ,2000,111.0,major,
396,94,BURGLARY                              ,2000,250.0,major,
397,94,GRAND LARCENY                         ,2000,167.0,major,
398,94,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,258.0,major,
399,100,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,5.0,major,
400,100,RAPE                                  ,2000,9.0,major,
401,100,ROBBERY                               ,2000,97.0,major,
402,100,FELONY ASSAULT                        ,2000,110.0,major,
403,100,BURGLARY                              ,2000,156.0,major,
404,100,GRAND LARCENY                         ,2000,77.0,major,
405,100,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,71.0,major,
406,101,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,9.0,major,
407,101,RAPE                                  ,2000,37.0,major,
408,101,ROBBERY                               ,2000,329.0,major,
409,101,FELONY ASSAULT                        ,2000,307.0,major,
410,101,BURGLARY                              ,2000,277.0,major,
411,101,GRAND LARCENY                         ,2000,210.0,major,
412,101,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,249.0,major,
413,102,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,7.0,major,
414,102,RAPE                                  ,2000,28.0,major,
415,102,ROBBERY                               ,2000,552.0,major,
416,102,FELONY ASSAULT                        ,2000,368.0,major,
417,102,BURGLARY                              ,2000,705.0,major,
418,102,GRAND LARCENY                         ,2000,447.0,major,
419,102,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,970.0,major,
420,103,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,14.0,major,
421,103,RAPE                                  ,2000,31.0,major,
422,103,ROBBERY                               ,2000,640.0,major,
423,103,FELONY ASSAULT                        ,2000,493.0,major,
424,103,BURGLARY                              ,2000,526.0,major,
425,103,GRAND LARCENY                         ,2000,630.0,major,
426,103,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,571.0,major,
427,104,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,6.0,major,
428,104,RAPE                                  ,2000,14.0,major,
429,104,ROBBERY                               ,2000,408.0,major,
430,104,FELONY ASSAULT                        ,2000,216.0,major,
431,104,BURGLARY                              ,2000,905.0,major,
432,104,GRAND LARCENY                         ,2000,449.0,major,
433,104,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,1059.0,major,
434,105,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,8.0,major,
435,105,RAPE                                  ,2000,32.0,major,
436,105,ROBBERY                               ,2000,428.0,major,
437,105,FELONY ASSAULT                        ,2000,317.0,major,
438,105,BURGLARY                              ,2000,643.0,major,
439,105,GRAND LARCENY                         ,2000,481.0,major,
440,105,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,1046.0,major,
441,106,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,8.0,major,
442,106,RAPE                                  ,2000,33.0,major,
443,106,ROBBERY                               ,2000,472.0,major,
444,106,FELONY ASSAULT                        ,2000,285.0,major,
445,106,BURGLARY                              ,2000,619.0,major,
446,106,GRAND LARCENY                         ,2000,459.0,major,
447,106,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,982.0,major,
448,107,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,3.0,major,
449,107,RAPE                                  ,2000,18.0,major,
450,107,ROBBERY                               ,2000,373.0,major,
451,107,FELONY ASSAULT                        ,2000,205.0,major,
452,107,BURGLARY                              ,2000,587.0,major,
453,107,GRAND LARCENY                         ,2000,601.0,major,
454,107,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,916.0,major,
455,108,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,2.0,major,
456,108,RAPE                                  ,2000,21.0,major,
457,108,ROBBERY                               ,2000,423.0,major,
458,108,FELONY ASSAULT                        ,2000,226.0,major,
459,108,BURGLARY                              ,2000,758.0,major,
460,108,GRAND LARCENY                         ,2000,562.0,major,
461,108,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,771.0,major,
462,109,MURDER & NON NEGL. MANSLAUGHTER                                ,2000,12.0,major,
463,109,RAPE                                  ,2000,25.0,major,
464,109,ROBBERY                               ,2000,431.0,major,
465,109,FELONY ASSAULT                        ,2000,356.0,major,
466,109,BURGLARY                              ,2000,936.0,major,
467,109,GRAND LARCENY                         ,2000,1077.0,major,
468,109,GRAND LARCENY OF MOTOR VEHICLE                                  ,2000,1223.0,major,
