,dbn,score,year
620,02M111,0.71943885,2017-2018
621,02M111,0.7214429,2018-2019
622,02M111,0.69138277,2019-2020
623,02M111,0.66132265,2020-2021
624,02M111,0.63126254,2021-2022
625,02M111,0.6012024,2022-2023
626,02M111,0.5150301,2023-2024
627,02M114,0.6897,2006-2007
628,02M114,0.657,2007-2008
629,02M114,0.9599198,2014-2015
630,02M114,0.9699399,2015-2016
631,02M114,0.9258517,2016-2017
632,02M114,0.9218437,2017-2018
633,02M114,0.9699399,2018-2019
634,02M114,0.9774549,2019-2020
635,02M114,0.9849699,2020-2021
636,02M114,0.992485,2021-2022
637,02M114,1.0,2022-2023
638,02M114,0.9218437,2023-2024
639,02M116,0.898,2008-2009
640,02M116,0.513,2009-2010
641,02M116,0.403,2010-2011
642,02M116,0.472,2011-2012
643,02M116,0.677,2012-2013
644,02M116,0.7014028,2014-2015
645,02M116,0.74549097,2015-2016
646,02M116,0.66132265,2016-2017
647,02M116,0.64529055,2017-2018
648,02M116,0.7334669,2018-2019
649,02M116,0.7359719,2019-2020
650,02M116,0.73847693,2020-2021
651,02M116,0.74098194,2021-2022
652,02M116,0.743487,2022-2023
653,02M116,0.6693387,2023-2024
654,02M124,0.9,2008-2009
655,02M124,0.673,2009-2010
656,02M124,0.599,2010-2011
657,02M124,0.546,2011-2012
658,02M124,0.662,2012-2013
659,02M124,0.8036072,2014-2015
660,02M124,0.9318637,2015-2016
661,02M124,0.9058116,2016-2017
662,02M124,0.9599198,2017-2018
663,02M124,1.0,2018-2019
664,02M124,0.996493,2019-2020
665,02M124,0.99298596,2020-2021
666,02M124,0.98947895,2021-2022
667,02M124,0.9859719,2022-2023
668,02M124,0.8977956,2023-2024
669,02M126,0.81963927,2014-2015
670,02M126,0.9398798,2015-2016
671,02M126,0.88777554,2016-2017
672,02M126,0.9218437,2017-2018
673,02M126,1.0,2018-2019
674,02M126,0.9794589,2019-2020
675,02M126,0.95891786,2020-2021
676,02M126,0.9383767,2021-2022
677,02M126,0.91783565,2022-2023
678,02M126,0.76553106,2023-2024
679,02M130,1.011,2008-2009
680,02M130,0.883,2009-2010
681,02M130,0.698,2010-2011
682,02M130,0.723,2011-2012
683,02M130,0.773,2012-2013
684,02M130,0.88977957,2014-2015
685,02M130,0.9559118,2015-2016
686,02M130,0.9659319,2016-2017
687,02M130,0.8917836,2017-2018
