,community_board,year,rent
309,Brooklyn Community Board 5,2014,1113.1394
310,Manhattan Community Board 11,2014,909.8314
311,Manhattan Community Board 8,2013,2143.0522
312,Brooklyn Community Board 9,2013,1195.0106
313,Manhattan Community Board 9,2013,1265.5731
314,Brooklyn Community Board 14,2013,1246.2253
315,Brooklyn Community Board 12,2013,1325.8927
316,Brooklyn Community Board 5,2013,1193.8724
317,Brooklyn Community Board 16,2013,878.6173
318,Manhattan Community Board 4,2012,2265.8608
319,Manhattan Community Board 5,2012,2265.8608
320,Brooklyn Community Board 2,2012,1695.3453
321,Queens Community Board 11,2012,1668.729
322,Brooklyn Community Board 17,2012,1171.1191
323,Brooklyn Community Board 15,2012,1226.6663
324,Manhattan Community Board 9,2012,1156.0751
325,Bronx Community Board 7,2012,1106.3141
326,Brooklyn Community Board 16,2012,991.7481
327,Bronx Community Board 2,2012,777.66016
328,Staten Island Community Board 2,2011,1152.8433
329,Brooklyn Community Board 10,2011,1322.7609
330,Queens Community Board 4,2011,1366.4202
331,Bronx Community Board 12,2011,1169.363
332,Manhattan Community Board 9,2011,1129.2437
333,Brooklyn Community Board 9,2011,1105.6439
334,Manhattan Community Board 1,2010,2427.1206
335,Manhattan Community Board 7,2010,1743.8862
336,Manhattan Community Board 5,2010,1898.0084
337,Queens Community Board 2,2010,1428.3605
338,Queens Community Board 14,2010,1064.2925
339,Brooklyn Community Board 8,2010,1155.3094
340,Brooklyn Community Board 2,2009,1340.4034
341,Brooklyn Community Board 10,2009,1335.4664
342,Brooklyn Community Board 17,2009,1160.2019
343,Queens Community Board 4,2009,1383.6025
344,Manhattan Community Board 8,2008,2137.2725
345,Manhattan Community Board 6,2008,2160.8271
346,Manhattan Community Board 2,2008,2325.7095
347,Staten Island Community Board 2,2008,1151.6973
348,Queens Community Board 7,2008,1405.8394
349,Queens Community Board 9,2008,1327.737
350,Brooklyn Community Board 7,2008,1180.2108
351,Brooklyn Community Board 14,2008,1139.3
352,Brooklyn Community Board 3,2008,989.2943
353,Manhattan Community Board 1,2006,2239.621
354,Queens Community Board 11,2006,1500.5858
355,Brooklyn Community Board 7,2006,1156.2325
356,Brooklyn Community Board 8,2006,1001.27356
357,Bronx Community Board 9,2006,1025.1134
358,Manhattan Community Board 10,2006,797.3104
359,Bronx Community Board 3,2006,809.23035
360,Brooklyn Community Board 7,2009,1228.086
361,Bronx Community Board 3,2021,483.0
362,Brooklyn Community Board 16,2017,888.2737
363,Brooklyn Community Board 2,2019,2266.6396
364,Brooklyn Community Board 3,2017,1244.2363
365,Brooklyn Community Board 14,2015,1339.4706
366,Brooklyn Community Board 12,2011,1267.3016
367,Bronx Community Board 7,2018,1219.883
368,Brooklyn Community Board 4,2017,1461.9504
369,Bronx Community Board 4,2017,1107.0764
370,Queens Community Board 14,2015,1208.216
371,Staten Island Community Board 2,2013,1237.1205
372,Bronx Community Board 11,2021,1363.0
373,Manhattan Community Board 1,2018,2743.1345
374,Queens Community Board 9,2017,1512.0247
375,Brooklyn Community Board 12,2016,1465.0388
376,Bronx Community Board 9,2015,1165.5862
377,Queens Community Board 10,2006,1386.6843
378,Manhattan Community Board 7,2007,1786.4822
379,Manhattan Community Board 12,2010,1088.5636
380,Bronx Community Board 12,2021,1271.0
381,Manhattan Community Board 11,2008,748.7892
382,Manhattan Community Board 7,2006,1680.7091
383,Brooklyn Community Board 9,2015,1282.2571
384,Queens Community Board 9,2009,1374.9626
385,Manhattan Community Board 1,2022,2577.5889
386,Brooklyn Community Board 12,2022,1429.4951
387,Manhattan Community Board 2,2022,2375.5127
388,Bronx Community Board 2,2022,866.63257
389,Manhattan Community Board 6,2022,2210.8452
390,Bronx Community Board 8,2022,1344.1733
391,Staten Island Community Board 1,2022,1100.2981
392,Bronx Community Board 10,2022,1091.8937
393,Queens Community Board 1,2022,1637.0217
394,Brooklyn Community Board 1,2022,1445.4923
395,Bronx Community Board 6,2022,707.4869
396,Brooklyn Community Board 3,2022,1105.3212
397,Brooklyn Community Board 13,2023,986.48804
398,Bronx Community Board 3,2023,630.4265
399,Queens Community Board 6,2023,1601.8662
400,Manhattan Community Board 8,2023,2318.8596
401,Bronx Community Board 12,2023,1204.1604
402,Brooklyn Community Board 16,2023,880.73047
403,Manhattan Community Board 5,2023,2027.2799
404,Bronx Community Board 3,2020,777.8531
405,Manhattan Community Board 1,2020,2412.043
406,Bronx Community Board 10,2024,1096.4257
407,Manhattan Community Board 4,2024,2256.1792
408,Brooklyn Community Board 8,2024,1194.9661
409,Brooklyn Community Board 11,2024,1312.455
410,Bronx Community Board 7,2024,1158.9331
411,Staten Island Community Board 2,2020,1243.4565
412,Brooklyn Community Board 14,2020,1367.509
413,Manhattan Community Board 11,2024,855.2246
414,Queens Community Board 9,2024,1417.593
415,Queens Community Board 3,2020,1442.1982
416,Queens Community Board 1,2024,1537.1522
417,Queens Community Board 10,2024,1361.4099
418,Bronx Community Board 1,2020,827.7992
419,Bronx Community Board 7,2020,1097.9833
420,Bronx Community Board 5,2024,1020.68414
421,Brooklyn Community Board 6,2021,2350.0
422,Brooklyn Community Board 4,2021,1753.0
423,Queens Community Board 7,2021,1553.0
424,Brooklyn Community Board 5,2021,1193.0
